,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,ticker,Write Off,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Otherunder Preferred Stock Dividend,Other Special Charges,Other Operating Expenses,Average Dilution Earnings,Selling And Marketing Expense,Gain On Sale Of Ppe,Impairment Of Capital Assets,Provision For Doubtful Accounts,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded,Earnings From Equity Interest,Total Other Finance Cost,Depreciation Income Statement,Preferred Stock Dividends,Other Taxes,Excise Taxes,Professional Expense And Contract Services Expense,Other Non Interest Expense,Rent Expense Supplemental,Rent And Landing Fees,Occupancy And Equipment,Insurance And Claims,Net Income From Tax Loss Carryforward,Net Income Extraordinary,Securities Amortization,Depletion Income Statement
2025-03-31,-34602.076125,0.017301,696000000.0,-2000000.0,-2000000.0,284000000.0,177000000.0,268000000.0,694000000.0,517000000.0,-233000000.0,228000000.0,3000000.0,285965397.923875,-464000000.0,538000000.0,521000000.0,436000000.0,435000000.0,-1.07,-1.07,-464000000.0,-464000000.0,-464000000.0,,-464000000.0,-748000000.0,284000000.0,,5000000.0,289000000.0,-1000000.0,1000000.0,-2000000.0,,0.0,,-233000000.0,228000000.0,3000000.0,523000000.0,270000000.0,,93000000.0,,,,793000000.0,268000000.0,1061000000.0,1061000000.0,CCI,2000000.0,177000000.0,177000000.0,,,,,,,,,,,,,,,,8000000.0,,,,,,,240000000.0,,,,,,,
2024-12-31,-1068270000.0,0.21,993000000.0,-5087000000.0,-5087000000.0,-4768000000.0,437000000.0,464000000.0,-4094000000.0,-4531000000.0,-235000000.0,232000000.0,5000000.0,-749270000.0,-4768000000.0,1067000000.0,-4505000000.0,435000000.0,435000000.0,-10.97,-10.97,-4768000000.0,-4768000000.0,-4768000000.0,,-4768000000.0,,-4768000000.0,,5000000.0,-4763000000.0,-5110000000.0,-23000000.0,-5087000000.0,,5000000.0,,-235000000.0,232000000.0,5000000.0,582000000.0,603000000.0,,166000000.0,,,,1185000000.0,464000000.0,1649000000.0,1649000000.0,CCI,124000000.0,437000000.0,437000000.0,,,,,,,,,,,,,,,,8000000.0,,,,,,,436000000.0,,,,,,,
2024-09-30,-1022727.272727,0.016234,1529000000.0,-63000000.0,-63000000.0,303000000.0,930000000.0,460000000.0,1466000000.0,536000000.0,-230000000.0,228000000.0,6000000.0,364977272.727273,303000000.0,1045000000.0,544000000.0,436000000.0,435000000.0,0.7,0.7,303000000.0,303000000.0,303000000.0,,303000000.0,,303000000.0,,5000000.0,308000000.0,-69000000.0,-6000000.0,-63000000.0,,48000000.0,,-230000000.0,228000000.0,6000000.0,607000000.0,585000000.0,,153000000.0,,,,1192000000.0,460000000.0,1652000000.0,1652000000.0,CCI,15000000.0,432000000.0,432000000.0,,,,,,,,,,,,,,,,8000000.0,,,,,,,430000000.0,,,,,,,
2024-06-30,-407407.407407,0.018519,694000000.0,-22000000.0,-22000000.0,265000000.0,180000000.0,274000000.0,672000000.0,492000000.0,-226000000.0,222000000.0,4000000.0,286592592.592593,251000000.0,590000000.0,495000000.0,435000000.0,435000000.0,0.58,0.58,251000000.0,251000000.0,251000000.0,,251000000.0,-14000000.0,265000000.0,,5000000.0,270000000.0,-21000000.0,1000000.0,-22000000.0,,19000000.0,,-226000000.0,222000000.0,4000000.0,517000000.0,316000000.0,,136000000.0,,,,833000000.0,274000000.0,1107000000.0,1107000000.0,CCI,3000000.0,180000000.0,180000000.0,,,,,,,,,,,,,,,,8000000.0,,,,,,,249000000.0,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,17000000.0,,,,,-15000000.0,,,,,,,,,,,,,,,,,,,,CCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,0.0,0.241537,1732000000.0,,,829000000.0,427000000.0,2291000000.0,1732000000.0,1305000000.0,-212000000.0,212000000.0,,829000000.0,829000000.0,2291000000.0,1283000000.0,1869000000.0,1864277014.0,0.44,0.444676,829000000.0,829000000.0,829000000.0,,829000000.0,,829000000.0,,264000000.0,1093000000.0,22000000.0,22000000.0,,,,,-212000000.0,212000000.0,,1283000000.0,,,,,,,1283000000.0,2291000000.0,3574000000.0,3436000000.0,CSX,,,,,,,,,,,,,,,,,,,,,,,,,,94000000.0,,,,,,,
2025-03-31,0.0,0.247086,1492000000.0,,,646000000.0,425000000.0,2382000000.0,1492000000.0,1067000000.0,-209000000.0,209000000.0,,646000000.0,646000000.0,2382000000.0,1041000000.0,1892000000.0,1878545871.0,0.34,0.343883,646000000.0,646000000.0,646000000.0,,646000000.0,,646000000.0,,212000000.0,858000000.0,26000000.0,26000000.0,,,,,-209000000.0,209000000.0,,1041000000.0,,,,,,,1041000000.0,2382000000.0,3423000000.0,3308000000.0,CSX,,,,,,,,,,,,,,,,,,,,,,,,,,87000000.0,,,,,,,
2024-12-31,-22772435.897436,0.21688,1670000000.0,-105000000.0,-105000000.0,733000000.0,422000000.0,2328000000.0,1565000000.0,1143000000.0,-122000000.0,207000000.0,,815227564.102564,733000000.0,2278000000.0,1106000000.0,1921000000.0,1900189590.0,0.38,0.385751,733000000.0,733000000.0,733000000.0,,733000000.0,,733000000.0,,203000000.0,936000000.0,-203000000.0,-98000000.0,-105000000.0,,,,-122000000.0,207000000.0,,1261000000.0,,,,,,,1211000000.0,2328000000.0,3539000000.0,3410000000.0,CSX,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,95000000.0,,,,,,,
2024-09-30,-244932.432432,0.244932,1807000000.0,-1000000.0,-1000000.0,894000000.0,416000000.0,2264000000.0,1806000000.0,1390000000.0,-206000000.0,206000000.0,,894755067.567568,894000000.0,2264000000.0,1354000000.0,1940000000.0,1928419153.0,0.46,0.463592,894000000.0,894000000.0,894000000.0,,894000000.0,,894000000.0,,290000000.0,1184000000.0,35000000.0,36000000.0,-1000000.0,,,,-206000000.0,206000000.0,,1355000000.0,,,,,,,1355000000.0,2264000000.0,3619000000.0,3507000000.0,CSX,,,,,,,,,,,-1000000.0,,,,,,,,,,,,,,,91000000.0,,,,,,,
2024-06-30,0.0,0.239937,1886000000.0,8000000.0,8000000.0,963000000.0,410000000.0,2253000000.0,1886000000.0,1476000000.0,-209000000.0,209000000.0,,963000000.0,963000000.0,2253000000.0,1448000000.0,1948000000.0,1944000000.0,0.49,0.5,963000000.0,963000000.0,963000000.0,,963000000.0,,963000000.0,,304000000.0,1267000000.0,28000000.0,28000000.0,8000000.0,,,,-209000000.0,209000000.0,,1448000000.0,,,,,,,1448000000.0,2253000000.0,3701000000.0,3586000000.0,CSX,,,,,,,,,,,8000000.0,,,,,,,,,,,,,,,85000000.0,,,,,,,
2024-03-31,,,,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,CSX,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,,,,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,,,,,,,,,,,,CSX,,,,,,,,,,,8000000.0,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,8243265.306122,0.242449,1557000000.0,34000000.0,34000000.0,890000000.0,279000000.0,6116000000.0,1591000000.0,1312000000.0,-35000000.0,87000000.0,52000000.0,864243265.306122,890000000.0,7535000000.0,1226000000.0,138500000.0,137800000.0,6.43,6.46,890000000.0,890000000.0,890000000.0,-38000000.0,928000000.0,,928000000.0,,297000000.0,1225000000.0,152000000.0,22000000.0,11000000.0,0.0,,23000000.0,-35000000.0,87000000.0,52000000.0,1108000000.0,1173000000.0,357000000.0,779000000.0,,,,2281000000.0,6362000000.0,8643000000.0,8643000000.0,CMI,,33000000.0,33000000.0,33000000.0,33000000.0,,-11000000.0,4000000.0,,,,,,,,,,96000000.0,,,,,,,,,,,,,,,
2025-03-31,2151000.0,0.239,1454000000.0,9000000.0,9000000.0,824000000.0,269000000.0,5782000000.0,1463000000.0,1194000000.0,-17000000.0,77000000.0,60000000.0,817151000.0,824000000.0,7154000000.0,1134000000.0,138300000.0,137600000.0,5.96,5.99,824000000.0,824000000.0,824000000.0,-26000000.0,850000000.0,,850000000.0,,267000000.0,1117000000.0,114000000.0,8000000.0,10000000.0,0.0,,-1000000.0,-17000000.0,77000000.0,60000000.0,1020000000.0,1135000000.0,344000000.0,754000000.0,754000000.0,771000000.0,-17000000.0,2155000000.0,6019000000.0,8174000000.0,8174000000.0,CMI,,32000000.0,32000000.0,32000000.0,32000000.0,,-10000000.0,5000000.0,,,,,,,,,,97000000.0,,,,,,,,,,,,,,,
2024-12-31,-11800604.229607,0.327795,1058000000.0,-36000000.0,-36000000.0,418000000.0,271000000.0,6174000000.0,1022000000.0,751000000.0,-55000000.0,89000000.0,34000000.0,442199395.770393,418000000.0,7783000000.0,732000000.0,138400000.0,137400000.0,3.02,3.04,418000000.0,418000000.0,418000000.0,-27000000.0,445000000.0,,445000000.0,,217000000.0,662000000.0,53000000.0,39000000.0,-26000000.0,0.0,,-10000000.0,-55000000.0,89000000.0,34000000.0,664000000.0,1370000000.0,356000000.0,801000000.0,,,,2034000000.0,6413000000.0,8447000000.0,8447000000.0,CMI,2000000.0,32000000.0,32000000.0,32000000.0,32000000.0,,24000000.0,181000000.0,,,,,,,,,,50000000.0,,,,,,,,,,,,,,,
2024-09-30,2496000.0,0.192,1379000000.0,13000000.0,13000000.0,809000000.0,266000000.0,6051000000.0,1392000000.0,1126000000.0,-36000000.0,83000000.0,47000000.0,798496000.0,809000000.0,7493000000.0,1050000000.0,138100000.0,137200000.0,5.86,5.9,809000000.0,809000000.0,809000000.0,-34000000.0,843000000.0,,843000000.0,,200000000.0,1043000000.0,116000000.0,37000000.0,17000000.0,0.0,,-4000000.0,-36000000.0,83000000.0,47000000.0,963000000.0,1208000000.0,359000000.0,807000000.0,,,,2171000000.0,6285000000.0,8456000000.0,8456000000.0,CMI,2000000.0,32000000.0,32000000.0,32000000.0,32000000.0,,-19000000.0,10000000.0,,,,,,,,,,66000000.0,,,,,,,,,,,,,,,
2024-06-30,-3224155.578301,0.230297,1363000000.0,-14000000.0,-14000000.0,726000000.0,263000000.0,6373000000.0,1349000000.0,1086000000.0,-56000000.0,109000000.0,53000000.0,736775844.421699,726000000.0,7854000000.0,1045000000.0,137900000.0,137100000.0,5.26,5.3,726000000.0,726000000.0,726000000.0,-26000000.0,752000000.0,,752000000.0,,225000000.0,977000000.0,91000000.0,25000000.0,-2000000.0,0.0,,-12000000.0,-56000000.0,109000000.0,53000000.0,942000000.0,1251000000.0,379000000.0,828000000.0,830000000.0,828000000.0,,2193000000.0,6603000000.0,8796000000.0,8796000000.0,CMI,,33000000.0,33000000.0,33000000.0,33000000.0,,2000000.0,11000000.0,,,,,,,,,,80000000.0,,,,,,,,,,,2000000.0,,,,
2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809000000.0,839000000.0,-30000000.0,,,,,CMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMI,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,0.0,0.385,3581000000.0,,,1021000000.0,1171000000.0,85322000000.0,3581000000.0,2410000000.0,-763000000.0,763000000.0,,1021000000.0,1021000000.0,96534000000.0,2381000000.0,1270000000.0,1266000000.0,0.8,0.81,1021000000.0,1021000000.0,1021000000.0,8000000.0,1013000000.0,,1013000000.0,,634000000.0,1647000000.0,29000000.0,29000000.0,,,,,-763000000.0,763000000.0,,2381000000.0,11212000000.0,,,,,,13593000000.0,85322000000.0,98915000000.0,98915000000.0,CVS,,,,,,,,11212000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,0.0,0.319,4556000000.0,,,1779000000.0,1154000000.0,80192000000.0,4556000000.0,3402000000.0,-785000000.0,785000000.0,,1779000000.0,1779000000.0,91214000000.0,3374000000.0,1264000000.0,1261000000.0,1.41,1.41,1779000000.0,1779000000.0,1779000000.0,-3000000.0,1782000000.0,,1782000000.0,,835000000.0,2617000000.0,28000000.0,28000000.0,,,,,-785000000.0,785000000.0,,3374000000.0,11022000000.0,,,,,,14396000000.0,80192000000.0,94588000000.0,94588000000.0,CVS,,,,,,,,11022000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,90142521.16651,0.236595,3650000000.0,381000000.0,381000000.0,1644000000.0,1147000000.0,84811000000.0,4031000000.0,2884000000.0,-758000000.0,758000000.0,,1353142521.16651,1644000000.0,95232000000.0,2368000000.0,1261000000.0,1259000000.0,1.3,1.31,1644000000.0,1644000000.0,1644000000.0,21000000.0,1623000000.0,,1623000000.0,,503000000.0,2126000000.0,406000000.0,25000000.0,381000000.0,,10000000.0,,-758000000.0,758000000.0,,2478000000.0,10421000000.0,,,,,,12899000000.0,84811000000.0,97710000000.0,97710000000.0,CVS,,,,,,,,10421000000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,-378756000.0,0.324,3187000000.0,-1169000000.0,-1169000000.0,87000000.0,1161000000.0,82870000000.0,2018000000.0,857000000.0,-752000000.0,752000000.0,,877244000.0,87000000.0,93427000000.0,832000000.0,1259000000.0,1259000000.0,0.07,0.07,87000000.0,87000000.0,87000000.0,16000000.0,71000000.0,,71000000.0,,34000000.0,105000000.0,-1144000000.0,25000000.0,-1169000000.0,,1169000000.0,,-752000000.0,752000000.0,,2001000000.0,10557000000.0,,,,,,12558000000.0,82870000000.0,95428000000.0,95428000000.0,CVS,,,,,,,,10557000000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,0.0,0.243,4220000000.0,0.0,0.0,1770000000.0,1151000000.0,77851000000.0,4220000000.0,3069000000.0,-732000000.0,732000000.0,,1770000000.0,1770000000.0,88189000000.0,3045000000.0,1259000000.0,1256000000.0,1.41,1.41,1770000000.0,1770000000.0,1770000000.0,2000000.0,1768000000.0,,1768000000.0,,569000000.0,2337000000.0,24000000.0,24000000.0,0.0,,0.0,,-732000000.0,732000000.0,,3045000000.0,10338000000.0,,,,,,13383000000.0,77851000000.0,91234000000.0,91234000000.0,CVS,,,,,,,,10338000000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,CVS,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,CVS,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,-6732000.0,0.153,1381000000.0,-44000000.0,-44000000.0,555000000.0,611000000.0,2413000000.0,1337000000.0,726000000.0,-63000000.0,71000000.0,8000000.0,592268000.0,555000000.0,5176000000.0,760000000.0,719100000.0,716500000.0,0.77,0.77,555000000.0,555000000.0,555000000.0,,555000000.0,,555000000.0,,100000000.0,655000000.0,-42000000.0,2000000.0,0.0,0.0,,-44000000.0,-63000000.0,71000000.0,8000000.0,760000000.0,2763000000.0,403000000.0,2360000000.0,,,,3523000000.0,2413000000.0,5936000000.0,5936000000.0,DHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,-12555000.0,0.155,1873000000.0,-81000000.0,-81000000.0,954000000.0,591000000.0,2230000000.0,1792000000.0,1201000000.0,-66000000.0,72000000.0,6000000.0,1022445000.0,954000000.0,4467000000.0,1274000000.0,720800000.0,716300000.0,1.32,1.33,954000000.0,954000000.0,954000000.0,,954000000.0,,954000000.0,,175000000.0,1129000000.0,-79000000.0,2000000.0,9000000.0,9000000.0,,-90000000.0,-66000000.0,72000000.0,6000000.0,1274000000.0,2237000000.0,379000000.0,1858000000.0,,,,3511000000.0,2230000000.0,5741000000.0,5741000000.0,DHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,-11145247.148289,0.174144,2035000000.0,-64000000.0,-64000000.0,1086000000.0,595000000.0,2648000000.0,1971000000.0,1376000000.0,-47000000.0,61000000.0,14000000.0,1138854752.851711,1086000000.0,5113000000.0,1425000000.0,728200000.0,722700000.0,1.49,1.5,1086000000.0,1086000000.0,1086000000.0,,1086000000.0,0.0,1086000000.0,,229000000.0,1315000000.0,-63000000.0,,,,,-64000000.0,-47000000.0,61000000.0,14000000.0,1425000000.0,2465000000.0,442000000.0,2023000000.0,,,,3890000000.0,2648000000.0,6538000000.0,6538000000.0,DHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,16789000.0,0.163,1552000000.0,103000000.0,103000000.0,818000000.0,591000000.0,2397000000.0,1655000000.0,1064000000.0,-83000000.0,87000000.0,4000000.0,731789000.0,818000000.0,4840000000.0,958000000.0,729400000.0,723000000.0,1.12,1.13,818000000.0,818000000.0,818000000.0,,818000000.0,0.0,818000000.0,,159000000.0,977000000.0,102000000.0,-1000000.0,,,,103000000.0,-83000000.0,87000000.0,4000000.0,958000000.0,2443000000.0,383000000.0,2060000000.0,,,,3401000000.0,2397000000.0,5798000000.0,5798000000.0,DHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,-9617000.0,0.163,1787000000.0,-59000000.0,-59000000.0,907000000.0,580000000.0,2315000000.0,1728000000.0,1148000000.0,-26000000.0,65000000.0,39000000.0,956383000.0,907000000.0,4575000000.0,1168000000.0,742400000.0,737600000.0,1.22,1.23,907000000.0,907000000.0,907000000.0,,907000000.0,0.0,907000000.0,,176000000.0,1083000000.0,-59000000.0,,0.0,0.0,,-59000000.0,-26000000.0,65000000.0,39000000.0,1168000000.0,2260000000.0,391000000.0,1869000000.0,,,,3428000000.0,2315000000.0,5743000000.0,5743000000.0,DHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1000000.0,0.0,0.0,,,,,,,,,,,,,,,,,DHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,DHR,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,,,117600000.0,116700000.0,2.19,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31,-7040861.812779,0.096582,593000000.0,-72900000.0,-72900000.0,304000000.0,135000000.0,2506900000.0,520100000.0,385100000.0,-46300000.0,,,369859138.187221,303800000.0,2816000000.0,382800000.0,117900000.0,117100000.0,2.58,2.59,303800000.0,303800000.0,303800000.0,,303800000.0,-200000.0,304000000.0,,32500000.0,336500000.0,-72900000.0,,-72900000.0,,,,-46300000.0,,,455700000.0,309100000.0,,174100000.0,133100000.0,133100000.0,,764800000.0,2506900000.0,3271700000.0,3271700000.0,DRI,0.0,135000000.0,135000000.0,,,,,,,41000000.0,-48000000.0,100000.0,,,,,,,,,,,,,,,,,,,,,
2025-02-28,-13100.0,0.131,550300000.0,-100000.0,-100000.0,323700000.0,131900000.0,2455700000.0,550200000.0,418300000.0,-45500000.0,,,323786900.0,323400000.0,2739700000.0,418200000.0,118000000.0,117200000.0,2.74,2.76,323400000.0,323400000.0,323400000.0,,323400000.0,-300000.0,323700000.0,,49000000.0,372700000.0,-100000.0,,-100000.0,,,,-45500000.0,,,418300000.0,284000000.0,,152100000.0,116700000.0,116700000.0,,702300000.0,2455700000.0,3158000000.0,3158000000.0,DRI,100000.0,131900000.0,131900000.0,,,,,,,35400000.0,0.0,0.0,,,,,,,45500000.0,,,,,,,,,,,,,,
2024-11-30,0.0,0.123,419800000.0,0.0,0.0,215700000.0,127700000.0,2277300000.0,419800000.0,292100000.0,-46200000.0,,,215700000.0,215100000.0,2597900000.0,292100000.0,118300000.0,117500000.0,1.82,1.83,215100000.0,215100000.0,215100000.0,,215100000.0,-600000.0,215700000.0,,30200000.0,245900000.0,,,0.0,,,,-46200000.0,,,292100000.0,320600000.0,,192900000.0,144100000.0,144100000.0,,612700000.0,2277300000.0,2890000000.0,2890000000.0,DRI,0.0,127700000.0,127700000.0,,,,,,,48800000.0,0.0,0.0,,,,,,,46200000.0,,,,,,,,,,,,,,
2024-08-31,-106000.0,0.106,392700000.0,-1000000.0,-1000000.0,207600000.0,121500000.0,2194200000.0,391700000.0,270200000.0,-37100000.0,,,208494000.0,207200000.0,2486800000.0,269200000.0,119200000.0,118500000.0,1.74,1.75,207200000.0,207200000.0,207200000.0,,207200000.0,-400000.0,207600000.0,,24500000.0,232100000.0,-1000000.0,,-1000000.0,,,,-37100000.0,,,270200000.0,292600000.0,,171100000.0,126400000.0,126400000.0,,562800000.0,2194200000.0,2757000000.0,2757000000.0,DRI,900000.0,121500000.0,121500000.0,,,,,,,44700000.0,-100000.0,0.0,,,,,,,37100000.0,,,,,,,,,,,,,,
2024-05-31,-194444.444444,0.138889,510000000.0,-1400000.0,-1400000.0,310000000.0,119700000.0,2300600000.0,508600000.0,388900000.0,-35400000.0,,,311205555.555556,308100000.0,2560500000.0,395400000.0,,,,,308100000.0,308100000.0,308100000.0,,308100000.0,-1900000.0,310000000.0,,50000000.0,360000000.0,-1400000.0,,-1400000.0,,,,-35400000.0,,,396800000.0,259900000.0,,140200000.0,102900000.0,102900000.0,,656700000.0,2300600000.0,2957300000.0,2957300000.0,DRI,-1900000.0,119700000.0,119700000.0,,,,,,,37300000.0,-3300000.0,0.0,,,,,,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-400000.0,,,,,,,,,,,,,,,,,,,,DRI,,,,,,,,,,,,,,,,,,,36500000.0,,,,,,,,,,,,,,
2025-06-30,-288330.0,0.21,21722000.0,-1373000.0,-1373000.0,2647000.0,12877000.0,153289000.0,20349000.0,7472000.0,47678000.0,1384000.0,50753000.0,3731670.0,2647000.0,860887000.0,-35500000.0,358725000.0,346185000.0,0.01,0.01,2647000.0,2647000.0,2647000.0,,2647000.0,,2647000.0,,3441000.0,6088000.0,-7463000.0,-6090000.0,-1373000.0,,1373000.0,,47678000.0,1384000.0,50753000.0,-34127000.0,694909000.0,387482000.0,307239000.0,68401000.0,68401000.0,,660782000.0,165978000.0,826760000.0,826760000.0,DDOG,,188000.0,188000.0,188000.0,188000.0,,,,,238838000.0,,,,,,,,,1691000.0,,,,,,,,,,,,,,
2025-03-31,0.0,0.224997,44140000.0,,,24642000.0,11200000.0,146631000.0,44140000.0,32940000.0,47764000.0,1144000.0,50727000.0,24642000.0,24642000.0,773973000.0,-12420000.0,363078000.0,343097000.0,0.07,0.07,24642000.0,24642000.0,24642000.0,,24642000.0,,24642000.0,,7154000.0,31796000.0,-3548000.0,-3548000.0,,,,,47764000.0,1144000.0,50727000.0,-12420000.0,616345000.0,341061000.0,275081000.0,60993000.0,60993000.0,,603925000.0,157628000.0,761553000.0,761553000.0,DDOG,,203000.0,203000.0,203000.0,203000.0,,,,,214088000.0,,,,,,,,,1819000.0,,,,,,,,,,,,,,
2024-12-31,0.0,0.152937,74847000.0,,,45594000.0,15706000.0,144178000.0,74847000.0,59141000.0,39920000.0,5315000.0,42563000.0,45594000.0,45594000.0,728335000.0,9392000.0,360940000.0,340320000.0,0.13,0.13,45594000.0,45594000.0,45594000.0,,45594000.0,,45594000.0,,8232000.0,53826000.0,4514000.0,4514000.0,,,,,39920000.0,5315000.0,42563000.0,9392000.0,584157000.0,316314000.0,268461000.0,59896000.0,59896000.0,,593549000.0,144178000.0,737727000.0,737727000.0,DDOG,,,,,,,,,,208565000.0,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,0.0,0.079076,70690000.0,,,51697000.0,13892000.0,124072000.0,70690000.0,56798000.0,38508000.0,662000.0,40082000.0,51697000.0,51697000.0,669738000.0,20278000.0,357635000.0,337562000.0,0.14,0.15,51697000.0,51697000.0,51697000.0,,51697000.0,,51697000.0,,4439000.0,56136000.0,-2650000.0,-2650000.0,,,,,38508000.0,662000.0,40082000.0,20278000.0,531982000.0,291802000.0,239972000.0,52408000.0,52408000.0,,552260000.0,137756000.0,690016000.0,690016000.0,DDOG,,208000.0,208000.0,208000.0,208000.0,,,,,187564000.0,,,,,,,,,912000.0,,,,,,,,,,,,,,
2024-06-30,0.0,0.083046,60795000.0,0.0,0.0,43824000.0,12435000.0,111269000.0,60795000.0,48360000.0,35764000.0,567000.0,37241000.0,43824000.0,43824000.0,632661000.0,12618000.0,356740000.0,334941000.0,0.12,0.13,43824000.0,43824000.0,43824000.0,,43824000.0,,43824000.0,,3969000.0,47793000.0,-589000.0,-589000.0,0.0,,0.0,,35764000.0,567000.0,37241000.0,12618000.0,509162000.0,274599000.0,234358000.0,47558000.0,47558000.0,,521780000.0,123499000.0,645279000.0,645279000.0,DDOG,,205000.0,205000.0,205000.0,205000.0,,,,,186800000.0,,,,,,,,,910000.0,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDOG,,205000.0,205000.0,205000.0,205000.0,,,,,,,,,,,,,,850000.0,,,,,,,,,,,,,,
2025-06-30,0.0,0.254001,689694000.0,0.0,0.0,199337000.0,174704000.0,2261540000.0,689694000.0,514990000.0,-146062000.0,146062000.0,,199337000.0,199337000.0,2849049000.0,537841000.0,77362000.0,75943000.0,2.58,2.62,199337000.0,199337000.0,199337000.0,-75883000.0,275220000.0,,275220000.0,,93708000.0,368928000.0,-15487000.0,-22851000.0,0.0,0.0,,,-146062000.0,146062000.0,,530477000.0,587509000.0,,412805000.0,412805000.0,412805000.0,,1117986000.0,2261540000.0,3379526000.0,3206871000.0,DVA,,174704000.0,174704000.0,,,,,,,,,,,,,,,7364000.0,,,,,,,,,,,,,,,
